utterance_id,room_x,room_y,room_z,micL_x,micL_y,micR_x,micR_y,mic_z,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,T60
445c0206_0.60431_22gc0105_-0.60431.wav,5.83651122743679,6.6110890844828845,3.092753198327738,2.716694351569521,3.226317129678222,2.841637979540242,3.111038815024016,1.063949886859429,3.0764651767510953,3.9514405702717275,1.507163622399847,3.296158737975344,4.568544296150819,0.907737664801226,0.7544219702368073
420c020h_1.1139_442c0203_-1.1139.wav,9.888189636775358,9.413381871957023,3.790688511769028,4.960187862256413,4.593078180766742,5.1037828750253365,4.502081080220117,1.46321432019605,6.520456761543715,3.7806170959686223,1.5716994534487938,5.954742152915401,3.0678023329325077,1.3735038811155853,0.7904014670738478
22go0107_0.079969_051c010u_-0.079969.wav,6.230462449866413,6.646566842974959,3.8856903413972894,3.2083592702571595,3.347449621534416,3.1365858720520823,3.204451092485704,0.9647349213338506,3.628589583737299,5.166989924950177,1.341320264512672,4.341711693108015,1.7765998130713676,1.547001081231687,0.5239322826528535
444o0314_2.1819_053o020e_-2.1819.wav,6.010885559027832,5.319660813459231,3.077994729438833,2.8999782589433742,2.573252359521222,2.789638258055133,2.4716399380168466,1.456266540025477,2.9450875806325922,1.60027490535585,1.128541947609789,4.6582179932055805,3.0982700662658,1.1075249302572614,0.2105415364283014
423o0304_1.419_420c020x_-1.419.wav,7.503709328712538,5.6818489138855135,3.0257161438716618,3.927946253120408,2.6902798487632933,3.75841622893583,2.677647711177895,1.091565722057815,2.578636945063711,1.6673574002023834,1.5257983475071522,2.301999437488691,3.606935680349008,1.36003052163506,0.4879987350995725
423o030b_1.4753_053o0209_-1.4753.wav,6.632820913429361,9.35586139642673,3.3453241612432225,3.3966112997902886,4.816143147187638,3.284470340529463,4.688376151229912,1.1725231693958635,4.611016646215841,4.409919738516895,1.024147498962165,4.643686183438734,5.148716888836608,1.1214661399287216,0.9666610734221532
441o030o_1.9903_445c020y_-1.9903.wav,6.371569053959076,8.584448953135052,3.052422929026598,3.0594403691103764,4.376608059909767,3.057718467056945,4.546599339254675,1.179379979344707,4.390863509245699,3.7893692952185773,1.1493702966365922,4.168403116728121,3.4752943456548655,1.1213582096438923,0.7282209612997965
22ga010u_0.43921_443o030l_-0.43921.wav,7.211039280798398,8.35572014420124,3.184551482968449,3.6177057897658873,4.094306340878061,3.616910911486397,4.244304234758344,1.3772019125805477,5.249920365286882,5.0759727037830515,1.2507277965346932,4.211011186484535,2.353797216027379,1.5373456815759003,0.245511437948355
444o030e_0.90493_443o0304_-0.90493.wav,7.955568012291902,5.923909623789352,3.952721833960376,3.739248589263984,2.832711643986064,3.884653035595596,2.795866739494433,1.1843199421223205,4.076243536798267,1.9850353885392122,1.4199105500386524,5.330574660838131,4.080817546198081,1.4045055255398389,0.4631819688399963
440c0209_1.2048_421a0104_-1.2048.wav,8.625074458778474,9.4463449533736,3.850053563484312,4.249020189126438,4.724172321083695,4.230707422262529,4.893183097573799,1.10798853062539,2.8231748819294915,4.999158029990964,1.6849715701093635,3.168116292021971,4.6840944361426216,1.760375773311043,0.5400103904821918
